Company Name,Total number of students,"Total ""wins""","Total ""loses""",Win-loss balance,ELO,TrueSkill
Craigleith Ski Club,2,1,1,0,1384,0
Crank Software Inc.,4,9,4,5,1489,23
CREZ Basketball Systems Inc.,2,3,5,-2,1376,18
CSC,2,0,4,-4,1333,0
D+H,2,4,0,4,1451,24
Datadog,3,14,2,12,1528,28
Datahug,3,14,3,11,1543,29
Datalot Inc,7,19,12,7,1465,26
David R. Cheriton School of Computer Science,2,4,3,1,1422,21
DBRS,7,10,5,5,1477,26
DBRS Limited,2,1,2,-1,1384,10
DECA Laurier,2,6,6,0,1401,18
DECA Ontario,3,2,12,-10,1241,6
Defence Research and Development Canada,2,4,5,-1,1410,17
Dejero,2,4,0,4,1460,23
Delego Software Inc.,2,6,1,5,1473,24
Deloitte,9,31,10,21,1592,30
Deloitte Canada,7,19,9,10,1462,26
Demonware,2,8,4,4,1448,23
Department of National Defence,8,12,15,-3,1376,21
Desire2Learn,66,83,58,25,1407,25
Digiflare,3,8,0,8,1524,27
Digiflare Inc.,7,14,7,7,1478,26
Digital Extremes,4,8,8,0,1417,24
Digital Rapids,2,6,1,5,1447,21
Disqus,3,6,1,5,1474,25
DNA - Design & Analysis,2,2,7,-5,1275,7
DownUnder GeoSolutions Group,3,4,7,-3,1369,16
DRDC,5,7,10,-3,1366,17
Dropbox,2,7,0,7,1558,34
Economical Insurance,2,2,4,-2,1339,12
eHealth Ontario,3,3,5,-2,1354,12
Electronic Arts,22,51,17,34,1612,30
Eloqua,4,16,0,16,1573,30
Embedded Sense Inc.,2,5,2,3,1459,23
EMC,7,10,7,3,1459,23
Emerging Leader Labs,2,6,5,1,1381,22
EmployTouch,4,9,4,5,1481,24
"Enable Training and Consulting, Inc.",4,6,14,-8,1301,13
Endeca,2,1,3,-2,1397,17
"Enflick, Inc.",5,11,6,5,1453,24
Enomaly Inc.,2,1,5,-4,1303,0
Environment Canada,31,28,63,-35,1140,18
Environmental Club,2,6,4,2,1415,16
Epson,2,3,6,-3,1360,13
Eqentia,2,3,6,-3,1353,11
Equitrac,2,2,4,-2,1367,8
Ericsson,10,18,19,-1,1430,24
eSentire Inc.,2,1,6,-5,1329,4
ESRI Canada,2,2,4,-2,1364,9
EVault,3,6,3,3,1433,19
EventMobi,4,6,5,1,1438,22
Evernote,4,15,6,9,1513,28
Evertz,8,15,11,4,1495,27
exactEarth Ltd,6,8,4,4,1474,26
Exinda Networks,3,6,4,2,1441,20
EXO U Inc.,2,2,1,1,1412,12
Facebook,125,204,31,173,1731,35
Feedback Ferret Ltd,2,4,1,3,1469,21
Firmwater Inc.,2,1,5,-4,1358,8
Fisheries and Oceans Canada,2,0,9,-9,1292,0
Five Mobile Inc.,2,4,8,-4,1374,16
Fixmo,13,13,13,0,1336,23
Flagtone Re,2,2,4,-2,1385,15
Forming Technologies Inc,2,8,1,7,1548,30
Freelance,3,5,7,-2,1451,27
FreshBooks,9,17,10,7,1451,27
Funzio,6,14,13,1,1330,21
Future Shop,4,2,16,-14,1221,4
FutureAdvisor,4,12,4,8,1527,29
GameTime,2,1,4,-3,1302,2
GE,3,2,6,-4,1347,11
General Dynamics Canada,13,16,33,-17,1164,19
General Motors,7,8,14,-6,1331,19
Genesys,10,13,19,-6,1347,21
George Brown College,2,0,6,-6,1326,1
Geosyntec Consultants,2,2,2,0,1380,10
Geoware Inc.,2,6,1,5,1484,25
Ginger.io,2,6,1,5,1482,28
Global Storm IT,2,3,3,0,1382,12
Glocalspace,2,2,5,-3,1325,11
Glooko,4,7,7,0,1431,24
Goldcorp Inc,4,3,8,-5,1263,8
Goldman Sachs,2,1,3,-2,1348,0
Google,101,144,30,114,1731,34
Government of Canada,10,8,2,6,1421,22
"GREE International, Inc",4,10,5,5,1489,27
"GREE, Inc.",4,14,5,9,1512,28
Groupon,7,15,3,12,1639,33
"GroupThinQ Solutions, Inc",3,8,9,-1,1386,21
"Gumstix, Inc.",2,5,1,4,1454,21
Harris Broadcast,2,3,1,2,1442,20
Harris Corporation,10,11,25,-14,1227,18
Health Canada,5,7,8,-1,1384,17
Hearsay Social,3,11,0,11,1541,31
Heat Design Equipment Inc.,2,2,7,-5,1271,5
Hewitt Associates,2,1,11,-10,1279,4
Hewlett-Packard,6,13,4,9,1509,27
Honeywell,2,2,2,0,1387,11
HootSuite,2,6,3,3,1443,23
HRSDC,2,2,2,0,1400,11
Huawei,2,2,3,-1,1383,10
Hulu,8,18,7,11,1524,29
Humber College,2,3,4,-1,1392,13
Hydro One,3,3,6,-3,1374,15
i4i,4,3,9,-6,1270,10
iAnywhere,2,2,5,-3,1356,9
IBM,100,112,110,2,1480,28
IESO,9,6,21,-15,1249,13
Igloo Software,2,6,0,6,1492,24
IGLOO Software,3,2,8,-6,1335,7
illustrate inc,2,3,7,-4,1352,10
Imagine Communications,3,9,0,9,1514,29
imason inc.,5,4,12,-8,1327,14
Impact Entrepreneurship Group,2,6,7,-1,1400,18
Imprint Publications,2,1,1,0,1384,0
IMVU,10,20,14,6,1432,26
In the Chat Communications Inc.,3,10,2,8,1483,25
Independent Electricity System Operator (IESO),2,6,2,4,1452,23
Index Inc.,2,6,1,5,1490,28
Indigo,9,16,21,-5,1298,21
Indochino,2,6,3,3,1434,22
Industry Canada,2,3,12,-9,1345,18
Infinite Dimensions,2,2,8,-6,1322,10
Info-Tech Research Group,5,6,9,-3,1318,15
Infosys,2,0,2,-2,1368,1
Infosys Limited,2,1,1,0,1384,0
Infusion,9,30,2,28,1714,34
Infusion Development,2,5,5,0,1428,19
INI Technology,3,1,9,-8,1247,-1
Inkling,9,28,6,22,1609,32
Institute for Quantum Computing,11,16,6,10,1476,24
Intel,2,2,2,0,1395,15
Intel Corporation,4,9,6,3,1481,26
Intelex Technologies Inc.,4,6,5,1,1427,22
Intelligent Mechatronic Systems,6,9,12,-3,1368,22
Intelligent Mechatronic Systems - IMS,4,10,3,7,1476,22
International Datacasting,2,3,2,1,1416,18
International Financial Data Services,4,6,9,-3,1369,18
Intuit,2,1,4,-3,1380,7
Intuit Canada,2,1,9,-8,1321,5
"Investment Technology Group, Inc.",3,5,5,0,1405,19
Investors Group,2,1,3,-2,1371,7
iPaholics,2,2,3,-1,1353,8
Irdeto,7,6,20,-14,1239,15
ITG,10,12,23,-11,1299,20
ITG Canada Corp.,5,5,7,-2,1293,18
ITM House,2,3,3,0,1386,15
Jonar Systems Inc.,2,3,3,0,1362,13
JSI Telecom,7,11,9,2,1386,18
Jugnoo Inc.,2,6,3,3,1429,22
Jugnoo – Social Media Presence Management,2,7,2,5,1454,22
Just Energy,2,0,3,-3,1357,0
Kaleidescape,12,19,16,3,1381,22
KANETIX,2,6,3,3,1454,22
"Kanjoya, Inc",2,7,0,7,1525,28
