Company Name,Total number of students,"Total ""wins""","Total ""loses""",Win-loss balance,ELO,TrueSkill
Unitron Hearing,6,4,11,-7,1273,16
Vale,2,4,4,0,1402,17
Varicent Software,5,1,11,-10,1247,1
Veeva Systems,2,5,2,3,1438,20
VerifEye Technologies,3,2,5,-3,1349,10
Vidyard,2,7,0,7,1496,26
Virtium,4,7,4,3,1450,20
VitalHub Corp,4,6,6,0,1387,15
ViXS Systems Inc.,3,4,10,-6,1346,19
VMware,2,7,3,4,1454,23
VN Instruments Ltd,2,1,4,-3,1313,0
Vortex Connect,2,1,7,-6,1331,9
Walton International Group,2,1,5,-4,1310,0
Waterloo Region District School Board,2,2,7,-5,1319,10
Waterloo Regional Police Service,3,1,5,-4,1295,-1
WatrHub Inc.,2,3,4,-1,1385,13
Wattpad,14,16,13,3,1396,25
Western Computer,2,5,2,3,1461,22
Wild Water Kingdom,2,2,5,-3,1361,8
Willet Inc.,2,3,1,2,1442,16
William Osler Health System,2,1,7,-6,1330,8
Wind River,3,4,4,0,1401,19
Wireless Generation,3,7,2,5,1491,25
Wishabi,6,9,11,-2,1366,20
WizardQuant,2,3,1,2,1443,17
WorleyParsons,2,3,2,1,1425,16
Wuwei Middle School,2,1,5,-4,1296,1
Wyss Institute for Biologically Inspired Engineering,2,5,0,5,1482,23
Xandros Corporation,4,2,15,-13,1262,6
XE.com Inc.,5,18,6,12,1512,28
XMG Studio,10,18,17,1,1490,27
Xtreme Labs,24,54,21,33,1390,28
Xtreme Labs Inc.,28,32,42,-10,1237,22
Xtreme Labs Inc. (Acquired by Pivotal Labs Inc.),2,6,3,3,1466,24
Xtreme Mobility Inc,2,1,6,-5,1330,6
Yahoo!,2,2,1,1,1417,12
Yelp,15,39,8,31,1712,34
YMCA of Greater Toronto,2,0,5,-5,1337,1
YMCAs of Cambridge & Kitchener-Waterloo,2,1,1,0,1384,0
York Catholic District School Board,3,5,10,-5,1345,15
York Region (The Regional Municipality of York),3,3,3,0,1377,12
You.i,2,7,0,7,1499,25
Zellers,3,0,6,-6,1330,0
ZeMind Studios,2,5,1,4,1455,21
Zodiac Swim School,2,2,4,-2,1356,8
ZurApps Research Inc.,2,5,0,5,1456,18
Zynga,29,73,20,53,1580,31
École Polytechnique de Montréal,2,1,8,-7,1323,4
